20260501 013600;157.270000;157.276000;157.262000;157.270000;0
20260501 013700;157.270000;157.270000;157.258000;157.259000;0
20260501 013800;157.258000;157.273000;157.258000;157.273000;0
20260501 013900;157.271000;157.277000;157.262000;157.262000;0
20260501 014000;157.263000;157.270000;157.251000;157.252000;0
20260501 014100;157.253000;157.253000;157.226000;157.243000;0
20260501 014200;157.244000;157.245000;157.239000;157.240000;0
20260501 014300;157.239000;157.239000;157.215000;157.237000;0
20260501 014400;157.237000;157.237000;157.202000;157.210000;0
20260501 014500;157.211000;157.240000;157.211000;157.240000;0
20260501 014600;157.240000;157.249000;157.233000;157.238000;0
20260501 014700;157.237000;157.246000;157.233000;157.240000;0
20260501 014800;157.239000;157.239000;157.236000;157.236000;0
20260501 014900;157.235000;157.235000;157.228000;157.231000;0
20260501 015000;157.229000;157.229000;157.206000;157.214000;0
20260501 015100;157.216000;157.254000;157.216000;157.237000;0
20260501 015200;157.238000;157.250000;157.238000;157.249000;0
20260501 015300;157.249000;157.265000;157.248000;157.255000;0
20260501 015400;157.255000;157.272000;157.255000;157.263000;0
20260501 015500;157.264000;157.277000;157.262000;157.276000;0
20260501 015600;157.274000;157.279000;157.265000;157.267000;0
20260501 015700;157.267000;157.279000;157.266000;157.276000;0
20260501 015800;157.279000;157.289000;157.259000;157.283000;0
20260501 015900;157.283000;157.289000;157.277000;157.277000;0
20260501 020000;157.277000;157.284000;157.222000;157.232000;0
20260501 020100;157.232000;157.253000;157.213000;157.214000;0
20260501 020200;157.219000;157.229000;157.192000;157.201000;0
20260501 020300;157.202000;157.229000;157.199000;157.229000;0
20260501 020400;157.229000;157.253000;157.226000;157.252000;0
20260501 020500;157.253000;157.275000;157.252000;157.261000;0
20260501 020600;157.264000;157.267000;157.256000;157.259000;0
20260501 020700;157.259000;157.274000;157.255000;157.274000;0
20260501 020800;157.273000;157.276000;157.252000;157.275000;0
20260501 020900;157.275000;157.280000;157.264000;157.271000;0
20260501 021000;157.271000;157.272000;157.250000;157.250000;0
20260501 021100;157.250000;157.262000;157.250000;157.261000;0
20260501 021200;157.264000;157.270000;157.261000;157.263000;0
20260501 021300;157.264000;157.294000;157.264000;157.285000;0
20260501 021400;157.284000;157.286000;157.273000;157.277000;0
20260501 021500;157.277000;157.280000;157.273000;157.276000;0
20260501 021600;157.277000;157.289000;157.242000;157.242000;0
20260501 021700;157.250000;157.266000;157.248000;157.265000;0
20260501 021800;157.264000;157.272000;157.238000;157.238000;0
20260501 021900;157.238000;157.255000;157.236000;157.244000;0
20260501 022000;157.246000;157.271000;157.246000;157.266000;0
20260501 022100;157.266000;157.266000;157.253000;157.263000;0
20260501 022200;157.264000;157.266000;157.225000;157.227000;0
20260501 022300;157.225000;157.252000;157.225000;157.252000;0
20260501 022400;157.252000;157.256000;157.239000;157.251000;0
20260501 022500;157.252000;157.252000;157.235000;157.249000;0
20260501 022600;157.249000;157.265000;157.249000;157.260000;0
20260501 022700;157.261000;157.261000;157.247000;157.252000;0
20260501 022800;157.252000;157.253000;157.206000;157.228000;0
20260501 022900;157.233000;157.263000;157.233000;157.251000;0
20260501 023000;157.252000;157.253000;157.248000;157.253000;0
20260501 023100;157.253000;157.269000;157.236000;157.239000;0
20260501 023200;157.239000;157.245000;157.214000;157.215000;0
20260501 023300;157.215000;157.240000;157.213000;157.213000;0
20260501 023400;157.211000;157.225000;157.194000;157.221000;0
20260501 023500;157.226000;157.226000;157.202000;157.208000;0
20260501 023600;157.207000;157.209000;157.138000;157.155000;0
20260501 023700;157.152000;157.186000;157.117000;157.117000;0
20260501 023800;157.118000;157.143000;157.104000;157.139000;0
20260501 023900;157.138000;157.152000;157.138000;157.148000;0
20260501 024000;157.148000;157.148000;157.110000;157.111000;0
20260501 024100;157.109000;157.140000;157.105000;157.127000;0
20260501 024200;157.127000;157.127000;157.094000;157.099000;0
20260501 024300;157.100000;157.108000;157.092000;157.108000;0
20260501 024400;157.097000;157.097000;157.049000;157.051000;0
20260501 024500;157.050000;157.054000;156.406000;156.410000;0
20260501 024600;156.416000;156.545000;156.194000;156.207000;0
20260501 024700;156.203000;156.365000;155.976000;156.053000;0
20260501 024800;156.060000;156.060000;155.878000;155.903000;0
20260501 024900;155.904000;155.910000;155.724000;155.805000;0
20260501 025000;155.806000;155.822000;155.607000;155.616000;0
20260501 025100;155.616000;155.692000;155.519000;155.546000;0
20260501 025200;155.545000;155.812000;155.520000;155.720000;0
20260501 025300;155.720000;155.723000;155.555000;155.590000;0
20260501 025400;155.590000;155.696000;155.577000;155.694000;0
20260501 025500;155.693000;155.721000;155.486000;155.514000;0
20260501 025600;155.513000;155.707000;155.513000;155.691000;0
20260501 025700;155.690000;155.873000;155.630000;155.749000;0
20260501 025800;155.756000;155.823000;155.753000;155.818000;0
20260501 025900;155.819000;155.981000;155.818000;155.965000;0
20260501 030000;155.965000;156.283000;155.942000;156.140000;0
20260501 030100;156.138000;156.174000;156.037000;156.111000;0
20260501 030200;156.110000;156.149000;155.863000;155.962000;0
20260501 030300;155.964000;156.068000;155.900000;156.052000;0
20260501 030400;156.051000;156.126000;156.026000;156.126000;0
20260501 030500;156.132000;156.212000;156.092000;156.189000;0
20260501 030600;156.184000;156.375000;156.171000;156.186000;0
20260501 030700;156.185000;156.278000;156.159000;156.260000;0
20260501 030800;156.262000;156.637000;156.252000;156.475000;0
20260501 030900;156.476000;156.516000;156.403000;156.403000;0
20260501 031000;156.401000;156.526000;156.400000;156.486000;0
20260501 031100;156.487000;156.548000;156.411000;156.477000;0
20260501 031200;156.476000;156.478000;156.324000;156.399000;0
20260501 031300;156.398000;156.462000;156.381000;156.381000;0
20260501 031400;156.381000;156.415000;156.352000;156.352000;0
20260501 031500;156.353000;156.461000;156.352000;156.448000;0
20260501 031600;156.448000;156.460000;156.366000;156.421000;0
20260501 031700;156.419000;156.437000;156.263000;156.324000;0
20260501 031800;156.328000;156.377000;156.313000;156.320000;0
20260501 031900;156.320000;156.380000;156.319000;156.378000;0
20260501 032000;156.373000;156.373000;156.300000;156.323000;0
20260501 032100;156.323000;156.352000;156.311000;156.347000;0
20260501 032200;156.346000;156.392000;156.291000;156.391000;0
20260501 032300;156.390000;156.447000;156.373000;156.413000;0
20260501 032400;156.414000;156.423000;156.263000;156.265000;0
20260501 032500;156.264000;156.391000;156.264000;156.374000;0
20260501 032600;156.374000;156.464000;156.374000;156.445000;0
20260501 032700;156.445000;156.445000;156.322000;156.338000;0
20260501 032800;156.338000;156.366000;156.323000;156.353000;0
20260501 032900;156.365000;156.393000;156.302000;156.315000;0
20260501 033000;156.312000;156.393000;156.305000;156.378000;0
20260501 033100;156.374000;156.374000;156.299000;156.316000;0
20260501 033200;156.312000;156.325000;156.281000;156.289000;0
20260501 033300;156.290000;156.313000;156.277000;156.298000;0
20260501 033400;156.298000;156.413000;156.298000;156.388000;0
20260501 033500;156.387000;156.424000;156.379000;156.412000;0
20260501 033600;156.412000;156.460000;156.408000;156.452000;0
20260501 033700;156.456000;156.497000;156.448000;156.492000;0
20260501 033800;156.493000;156.625000;156.493000;156.619000;0
20260501 033900;156.618000;156.621000;156.499000;156.501000;0
20260501 034000;156.497000;156.497000;156.401000;156.458000;0
20260501 034100;156.463000;156.476000;156.424000;156.442000;0
20260501 034200;156.442000;156.463000;156.417000;156.425000;0
20260501 034300;156.426000;156.486000;156.413000;156.449000;0
20260501 034400;156.450000;156.466000;156.447000;156.463000;0
20260501 034500;156.463000;156.495000;156.443000;156.452000;0
20260501 034600;156.455000;156.490000;156.412000;156.427000;0
20260501 034700;156.426000;156.480000;156.426000;156.454000;0
20260501 034800;156.453000;156.530000;156.453000;156.512000;0
20260501 034900;156.510000;156.539000;156.462000;156.462000;0
20260501 035000;156.462000;156.479000;156.437000;156.468000;0
20260501 035100;156.465000;156.504000;156.413000;156.478000;0
20260501 035200;156.477000;156.478000;156.358000;156.392000;0
20260501 035300;156.391000;156.456000;156.390000;156.456000;0
20260501 035400;156.463000;156.490000;156.442000;156.490000;0
20260501 035500;156.488000;156.574000;156.486000;156.574000;0
20260501 035600;156.571000;156.634000;156.569000;156.634000;0
20260501 035700;156.640000;156.681000;156.619000;156.671000;0
20260501 035800;156.671000;156.721000;156.668000;156.684000;0
20260501 035900;156.684000;156.695000;156.598000;156.621000;0
20260501 040000;156.620000;156.634000;156.588000;156.624000;0
20260501 040100;156.629000;156.655000;156.584000;156.588000;0
20260501 040200;156.588000;156.644000;156.556000;156.600000;0
20260501 040300;156.599000;156.620000;156.583000;156.613000;0
20260501 040400;156.612000;156.614000;156.517000;156.518000;0
20260501 040500;156.518000;156.562000;156.504000;156.541000;0
20260501 040600;156.546000;156.556000;156.497000;156.500000;0
20260501 040700;156.501000;156.539000;156.501000;156.515000;0
20260501 040800;156.515000;156.515000;156.453000;156.461000;0
20260501 040900;156.461000;156.478000;156.438000;156.450000;0
20260501 041000;156.451000;156.508000;156.446000;156.505000;0
20260501 041100;156.504000;156.527000;156.485000;156.485000;0
20260501 041200;156.483000;156.518000;156.473000;156.514000;0
20260501 041300;156.513000;156.555000;156.512000;156.553000;0
20260501 041400;156.554000;156.570000;156.513000;156.565000;0
20260501 041500;156.559000;156.568000;156.485000;156.498000;0
20260501 041600;156.496000;156.516000;156.488000;156.492000;0
20260501 041700;156.492000;156.492000;156.483000;156.489000;0
20260501 041800;156.491000;156.524000;156.424000;156.425000;0
20260501 041900;156.425000;156.432000;156.379000;156.420000;0
20260501 042000;156.420000;156.436000;156.397000;156.400000;0
20260501 042100;156.400000;156.410000;156.366000;156.407000;0
20260501 042200;156.406000;156.424000;156.340000;156.340000;0
20260501 042300;156.339000;156.383000;156.329000;156.372000;0
20260501 042400;156.371000;156.403000;156.358000;156.379000;0
20260501 042500;156.383000;156.384000;156.315000;156.331000;0
20260501 042600;156.334000;156.362000;156.315000;156.340000;0
20260501 042700;156.343000;156.356000;156.260000;156.293000;0
20260501 042800;156.294000;156.319000;156.287000;156.319000;0
20260501 042900;156.318000;156.343000;156.299000;156.343000;0
20260501 043000;156.345000;156.405000;156.341000;156.399000;0
20260501 043100;156.402000;156.422000;156.355000;156.372000;0
20260501 043200;156.374000;156.378000;156.344000;156.348000;0
20260501 043300;156.356000;156.359000;156.329000;156.358000;0
