,Strategy 1,Strategy 2,Correlation
600,h1_trend_m5_rsi,keltner_rsi,-0.08
272,ema_ribbon_pullback,trend_mean_reversion,-0.078
921,stoch_divergence,stoch_ema_trend,-0.077
798,macd_histogram_div,parabolic_sar_ema,-0.077
283,ema_rsi_cross,h1_trend_m5_rsi,-0.077
318,ema_stoch_cross,h1_trend_m5_ema_cross,-0.076
261,ema_ribbon_pullback,macd_divergence,-0.075
330,ema_stoch_cross,macd_histogram_div,-0.075
533,h1_trend_m5_bb,supertrend_rsi_ema,-0.074
109,bb_rsi_bounce,rsi_divergence_ema,-0.074
661,heikin_ashi_ema,rsi_divergence,-0.074
513,h1_trend_m5_bb,heikin_ashi_ema,-0.073
707,ichimoku_cloud_break,trend_mean_reversion,-0.073
776,macd_divergence,triple_confirm,-0.073
725,keltner_rsi,trend_mean_reversion,-0.072
203,donchian_rsi,h1_trend_m5_rsi,-0.072
159,cci_ema,fib_ema_bounce,-0.072
713,keltner_rsi,macd_divergence,-0.072
146,breakout_retest,stoch_divergence,-0.071
397,ema_stochastic_mtf,macd_bb_breakout,-0.071
515,h1_trend_m5_bb,ichimoku_cloud_break,-0.071
405,ema_stochastic_mtf,pin_bar_ema,-0.071
627,h1_trend_m5_stoch,keltner_rsi,-0.07
645,h1_trend_m5_stoch,three_bar_reversal,-0.069
926,stoch_divergence,triple_confirm,-0.069
439,engulfing_ema,rsi_divergence,-0.069
85,bb_rsi_bounce,ema_stochastic,-0.069
236,ema_macd_rsi_confluence,macd_divergence,-0.069
473,fib_ema_bounce,stoch_divergence,-0.068
316,ema_stoch_cross,h1_adx_m5_ema,-0.068
925,stoch_divergence,trend_momentum_vol,-0.068
96,bb_rsi_bounce,ichimoku_cloud_break,-0.068
924,stoch_divergence,trend_mean_reversion,-0.067
915,stoch_bb_bounce,three_bar_reversal,-0.067
215,donchian_rsi,scalp_pullback,-0.067
113,bb_rsi_bounce,stoch_ema_trend,-0.066
138,breakout_retest,macd_histogram_div,-0.066
812,macd_histogram_div,williams_ema,-0.064
616,h1_trend_m5_rsi,stoch_ema_trend,-0.064
811,macd_histogram_div,tweezer_reversal,-0.063
518,h1_trend_m5_bb,macd_bb_breakout,-0.063
268,ema_ribbon_pullback,scalp_pullback,-0.062
246,ema_macd_rsi_confluence,stoch_divergence,-0.062
375,ema_stochastic,stoch_divergence,-0.062
729,ma_ribbon_pullback,macd_histogram_div,-0.061
769,macd_divergence,scalp_pullback,-0.061
284,ema_rsi_cross,h1_trend_m5_stoch,-0.06
332,ema_stoch_cross,momentum_exhaustion,-0.059
779,macd_ema_trend,macd_histogram_div,-0.057
893,rsi_divergence_ema,stoch_bb_bounce,-0.057
634,h1_trend_m5_stoch,momentum_exhaustion,-0.056
655,heikin_ashi_ema,macd_histogram_div,-0.056
739,ma_ribbon_pullback,trend_mean_reversion,-0.056
803,macd_histogram_div,stoch_bb_bounce,-0.055
653,heikin_ashi_ema,macd_divergence,-0.055
137,breakout_retest,macd_divergence,-0.055
441,engulfing_ema,scalp_pullback,-0.055
266,ema_ribbon_pullback,rsi_divergence,-0.055
733,ma_ribbon_pullback,rsi_divergence,-0.055
771,macd_divergence,stoch_ema_trend,-0.054
262,ema_ribbon_pullback,macd_histogram_div,-0.054
248,ema_macd_rsi_confluence,trend_mean_reversion,-0.054
355,ema_stochastic,h1_trend_m5_rsi,-0.053
44,adx_di_ema,tweezer_reversal,-0.052
379,ema_stochastic,trend_mean_reversion,-0.052
89,bb_rsi_bounce,h1_adx_m5_ema,-0.051
764,macd_divergence,momentum_exhaustion,-0.051
504,h1_adx_m5_ema,trend_mean_reversion,-0.051
888,rsi_divergence,trend_momentum_vol,-0.05
904,scalp_pullback,stoch_divergence,-0.049
155,cci_ema,ema_stoch_cross,-0.049
820,marubozu_trend,stoch_divergence,-0.049
352,ema_stochastic,h1_trend_m5_bb,-0.048
182,cci_ema,scalp_pullback,-0.048
90,bb_rsi_bounce,h1_trend_m5_ema_cross,-0.048
520,h1_trend_m5_bb,macd_ema_trend,-0.047
735,ma_ribbon_pullback,scalp_pullback,-0.047
631,h1_trend_m5_stoch,macd_ema_trend,-0.047
927,stoch_divergence,tweezer_reversal,-0.047
312,ema_stoch_cross,ema_stochastic,-0.046
328,ema_stoch_cross,macd_divergence,-0.044
703,ichimoku_cloud_break,stoch_divergence,-0.043
795,macd_histogram_div,marubozu_trend,-0.042
12,adx_di_ema,fib_ema_bounce,-0.042
807,macd_histogram_div,three_bar_reversal,-0.042
872,pin_bar_ema,stoch_divergence,-0.042
889,rsi_divergence,triple_confirm,-0.041
499,h1_adx_m5_ema,stoch_bb_bounce,-0.041
701,ichimoku_cloud_break,scalp_pullback,-0.04
884,rsi_divergence,stoch_ema_trend,-0.04
402,ema_stochastic_mtf,momentum_exhaustion,-0.04
472,fib_ema_bounce,stoch_bb_bounce,-0.039
775,macd_divergence,trend_momentum_vol,-0.039
