,strategy,adx_di_ema,adx_rsi_ema,bb_rsi_bounce,breakout_retest,cci_ema,donchian_rsi,ema_macd_rsi_confluence,ema_ribbon_pullback,ema_rsi_cross,ema_stoch_cross,ema_stochastic,ema_stochastic_mtf,engulfing_ema,fib_ema_bounce,h1_adx_m5_ema,h1_trend_m5_bb,h1_trend_m5_ema_cross,h1_trend_m5_macd,h1_trend_m5_rsi,h1_trend_m5_stoch,heikin_ashi_ema,ichimoku_cloud_bounce,ichimoku_cloud_break,keltner_rsi,ma_ribbon_pullback,macd_bb_breakout,macd_divergence,macd_ema_trend,macd_histogram_div,marubozu_trend,momentum_exhaustion,morning_evening_star,parabolic_sar_ema,pin_bar_ema,rsi_divergence,rsi_divergence_ema,scalp_pullback,stoch_bb_bounce,stoch_divergence,stoch_ema_trend,supertrend_rsi_ema,three_bar_reversal,trend_mean_reversion,trend_momentum_vol,triple_confirm,tweezer_reversal,williams_ema
0,adx_di_ema,1.0,0.03882285419934903,0.017813971075053094,0.00365223346612874,0.12082407684958735,0.0975016289137667,0.009130076632335523,0.009981913752017946,-0.08686961899708402,-0.018496179395402244,-0.019903923700622432,-0.0037689930090913223,0.03840298923052055,-0.04189052272975045,0.16976357734854147,-0.015286203508486036,0.03709620958119822,0.013718798972596284,0.12139659701752911,0.028567845396775513,0.03996949182350214,-0.025560292608428466,-0.017537363434646278,0.007419037146157359,0.03209334727604382,0.13248452566065397,0.036353504098952286,0.06188572044372538,0.06459777775042944,0.005210638750296792,0.04379588253131416,0.052645961253098415,-0.01925467994312781,0.008163231304747267,0.0468475432621266,0.0049129149824605825,-0.1176446491315227,-0.019036699487531825,0.02136884918202128,-0.012395670178801702,0.0027767448021287938,0.010013249425018474,-0.11003070799402007,0.014536860591609179,0.0003049147330873544,-0.05223190589455131,-0.03850525315371563
1,adx_rsi_ema,0.03882285419934903,1.0,-0.3309403963020237,0.45657312582893944,-0.03655497659503194,0.36412108678732574,0.6304407271442262,0.4504203296012121,0.057912550637620824,0.16316077092618567,0.12712582139209214,0.012073497984807113,0.24686504518128108,0.3318210661755885,0.04397425808507266,-0.1619959072755258,0.05354484740974811,0.08527751897097145,-0.2047382472933583,-0.14164901044311295,0.27424527675352883,0.6151034495227643,0.15001471480121084,0.34617388825733914,0.5734678570589709,0.11376365470234799,-0.13470840542592824,0.23868167178273494,-0.12252964992301697,0.23369926895658194,0.2639166041779896,0.033497805868459456,0.14094064009890786,0.27064517548903577,-0.13141799918535796,0.182417163096676,0.0008003927647081308,0.010889505978101933,-0.1680763893875106,0.2534307363824847,0.6001707050098358,0.38766664169414766,-0.014730630630806768,0.5950866412629781,0.6370279721213437,0.3009864800728679,0.13180372158317735
2,bb_rsi_bounce,0.017813971075053094,-0.3309403963020237,1.0,-0.44691760238809425,0.06404382776818401,-0.44988138030454083,-0.39354462519975936,-0.343987186463467,0.01756858574477776,-0.013186584020221017,-0.06851765417703463,0.07604782476749608,-0.1343676411430261,-0.16256947656464227,-0.051344282726039116,0.4318040826497614,-0.048181540380753986,-0.11042795569478979,0.13570622076334007,0.06399285936207362,-0.12823154019856456,-0.37591016937042426,-0.06846659051252979,-0.3821841251586139,-0.35053338134591716,-0.19513701033169512,0.18157602117434624,-0.26061420492000276,0.11315189539520024,-0.25386171166652627,-0.29218050838116355,-0.024340923180312456,-0.08716863814719136,-0.1668279060867309,0.11560410228125301,-0.07373234152274057,0.005668364341921504,0.08962914937071184,0.16844230995127557,-0.06611965120406972,-0.2884847745575359,-0.36621586864194855,0.04682344237609146,-0.3908045514411629,-0.3977509086614415,-0.15876630049210327,0.01133089631230865
3,breakout_retest,0.00365223346612874,0.45657312582893944,-0.44691760238809425,1.0,0.026361168653106785,0.7872809005450925,0.6127987934612834,0.45517314807260956,0.07686465091196558,0.05757261014946666,0.12537170815584134,-0.027885541952763944,0.14253467917565874,0.20827467827097612,0.08449330874468722,-0.2092467821945801,0.07570082926756995,0.1253394888723639,-0.1343154106017107,-0.08076126928821759,0.14562751976865132,0.5032116478264953,0.15327097761457384,0.5580677655167668,0.5025225783099105,0.21914801339628687,-0.055385452386746345,0.36931319106340615,-0.06580804406910838,0.3266307118180334,0.43473036641342044,0.009634800128302867,0.19717766916560656,0.1569772863215907,-0.026160530291406855,0.17604501842005868,-0.03300992885693058,-0.008212444845241227,-0.07139222802655308,0.1563943020287263,0.43546408343858833,0.4831774112049261,-0.015035533474448597,0.6230530862623928,0.6262893852544915,0.27568568094889256,0.0746885120452714
4,cci_ema,0.12082407684958735,-0.03655497659503194,0.06404382776818401,0.026361168653106785,1.0,0.08270942886101725,0.02389577913232738,0.0445189364719196,0.12829717789388934,-0.04913586197315606,-0.01158827354534262,-0.008506692836155752,-0.03620604280849739,-0.07160834817415933,0.25388598669482193,0.06284258130415546,0.24583877202558638,0.13824799493461873,0.17218965895397617,0.0753351835719776,-0.014496912120308493,-0.07990961843213225,-0.02962308688020617,0.055416580848791336,0.02032957114904421,0.06429189378437748,-0.016167379766085444,0.274352323970202,0.06716372706351076,0.0011669759136076414,0.039818260118942045,0.11948522290913964,0.12195802348907962,0.014516603240323113,0.051582065167355994,-0.002215168326659717,-0.0476256852720998,-0.008438600866557592,0.06861128475849103,0.11410044844031116,0.008412508955531415,0.15281405753351734,-0.2479594443088316,-0.00021098460357039096,0.0009596709638596844,0.03483013905563258,0.26346104008059557
5,donchian_rsi,0.0975016289137667,0.36412108678732574,-0.44988138030454083,0.7872809005450925,0.08270942886101725,1.0,0.5102277924323222,0.493029652497198,0.09360926896897809,0.01882138388023643,0.08329567468605918,-0.03285683038462063,0.1703356883147652,0.13510818403219516,0.151883865407044,-0.22224330758868385,0.12503555858062337,0.1548762508347176,-0.07224115993333577,-0.09060459610018272,0.1603261519613293,0.41819682972687494,0.21345178363882947,0.6475170996046028,0.4526284251601451,0.2915779459047965,-0.03688687175734992,0.34131802207640305,0.000978197586446945,0.37524750350958785,0.5042149271396984,0.06615836750460961,0.24638555812872473,0.09576458613264893,0.000437953086248103,0.16015775609150387,-0.06749010141952314,-0.0159852144213549,-0.0007898348490123151,0.1340299074330947,0.34229023466885133,0.45211754551408445,-0.08543945412069505,0.5361809637112481,0.5188785125098813,0.2875737321206341,0.10013646822002781
6,ema_macd_rsi_confluence,0.009130076632335523,0.6304407271442262,-0.39354462519975936,0.6127987934612834,0.02389577913232738,0.5102277924323222,1.0,0.5992708962064269,0.11373075507526494,0.07822968814715922,0.19247850787463627,-0.019487948880716723,0.24051709998433943,0.4436837808521027,0.1405878564056297,-0.23168355871311858,0.16566373978819687,0.14816924395998599,-0.2324944712567517,-0.18567560005353784,0.2737973314260265,0.6898341359706676,0.14349574878010346,0.43162936528357204,0.741836585933492,0.1858116749901187,-0.06939964326699538,0.4545436158980209,0.006741082610584202,0.2985384184474758,0.34936390709667314,0.03514587312521061,0.15272865955542494,0.2715070252563608,-0.035687287136081505,0.2440462688877784,-0.01835587267357647,-0.019621778791642563,-0.06198473290226985,0.1625919737320402,0.639502245671798,0.4806722685082666,-0.05401215602878369,0.725189337685603,0.9795685258665191,0.4098601553989812,0.08073291712398963
7,ema_ribbon_pullback,0.009981913752017946,0.4504203296012121,-0.343987186463467,0.45517314807260956,0.0445189364719196,0.493029652497198,0.5992708962064269,1.0,0.10787627697941907,0.10505137279734313,0.10787222326539186,-0.020813110415593066,0.3188103122962,0.34643296295278087,0.1246830000404531,-0.2381205528213091,0.12931717176208446,0.15303846247844438,-0.15149414451762877,-0.1271218307577306,0.4025909287125253,0.5692107694511306,0.31129665608006685,0.43965339691633726,0.7634563872937051,0.20565881024945198,-0.07467164422464263,0.3775037635335438,-0.0538682905847458,0.38428176140439274,0.31685203297706954,0.03568429276029231,0.2799879317480119,0.1533465174157024,-0.05493394253097712,0.22027844036749608,-0.061902537480598846,-0.03390545116788289,-0.11686863170898368,0.24333811326168883,0.4091877716517379,0.40859623607481865,-0.07800182155490876,0.6062421006841529,0.6052426521225507,0.5068273208033255,0.15555666233107962
8,ema_rsi_cross,-0.08686961899708402,0.057912550637620824,0.01756858574477776,0.07686465091196558,0.12829717789388934,0.09360926896897809,0.11373075507526494,0.10787627697941907,1.0,-0.01700043471723701,0.045877116602227576,-0.030573152713353105,0.02865562324895874,0.12104756815378793,0.09601881195843867,0.011322584657435925,0.08105056049592593,-0.003699543642469235,-0.07710445991180252,-0.06010714724176315,0.05672792385599516,0.05336816954528737,0.03002653805744755,0.06686077883297105,0.1335590974995329,0.005336846357319586,0.04282324241560071,0.07596804015830556,0.10341635610763555,-0.007791141230380279,0.02657949054539842,-0.006855303062602236,0.04541874038161027,-0.013716764313761159,0.057099406887848134,0.10280894485707748,0.053585298177755224,-0.008859575305642946,0.07095237545283228,0.052954124134615144,0.06580258026984365,0.07451944717259419,0.03206919974751602,0.08407764571921862,0.12580173206334727,0.11122781110538116,0.20191082968460072
9,ema_stoch_cross,-0.018496179395402244,0.16316077092618567,-0.013186584020221017,0.05757261014946666,-0.04913586197315606,0.01882138388023643,0.07822968814715922,0.10505137279734313,-0.01700043471723701,1.0,-0.04550979135671282,0.10986001085981237,0.17991734415054694,0.17196856499860816,-0.06763953939382529,0.01707297715159803,-0.0761064879435929,0.019280462418229213,-0.02504195983940166,0.02789419734872309,0.2727670466952647,0.19603972696303046,0.2487098946506942,0.037679851069131215,0.10140265141186622,0.011952256671707757,-0.04369653987248826,-0.027456008342611554,-0.07460118184573049,0.1275034308199051,-0.059293897639433366,0.015382954070086878,0.07943107809097626,0.07888018155117486,-0.03238641259061677,0.044806026184957055,0.0037566806353083945,0.012476859862442716,-0.028795915673392566,0.561242589907882,0.1576978191172311,0.03267098228577562,0.06861111204182355,0.0964665764269253,0.08047424327572648,0.18340502119162547,0.21119406649146227
